potential_file,t_min,model,A,beta,C,M,r2,beta_spread,n_points,t_max_used,sigma_noise,resid_mad,mad_ratio,runs_z,runs_p,rho1_bin,bin_excess,dataset,group
0.0,0.1,simple,-4.964373648688753e-06,0.01012744130636794,4.806434555406584e-06,,0.30326444771114214,0.025617204134555045,58,3.0,2.265204886470224e-09,1.815096647364662e-08,8.012946900326764,,,-0.018495917649165534,26.604341932902678,ca115,6
0.0,0.1,linear,6.517893004351685e-09,1.4999999999198943,-2.820133736219638e-07,7.852935243622743e-08,0.5675857659800798,0.0013857986745731132,58,3.0,2.265204886470224e-09,2.7543138637598898e-08,12.15922621486052,,,-0.6561275771846667,8.450419597009791,ca115,6
0.0,0.2,simple,-5.65549996763296e-07,0.17017688029065683,3.9006144005917607e-07,,0.9974503586137452,0.09438533232252774,56,3.0,2.265204886470224e-09,3.6415758925422596e-09,1.6076143550161497,,,-0.6581969918960829,1.5735565223907226,ca115,6
0.0,0.2,linear,-3.6062209377196087e-07,0.25066013542211485,1.8155288878658357e-07,4.332177734865847e-09,0.9968156367595964,0.21058573940326508,56,3.0,2.265204886470224e-09,3.882472926954281e-09,1.7139610417334827,,,-0.6648198100120771,0.7030843582581409,ca115,6
0.0,0.3,simple,-4.004201223815863e-07,0.24397403935444834,2.2587805146247465e-07,,0.9976627803714451,0.2260293455666531,54,3.0,2.265204886470224e-09,2.618636783323176e-09,1.156026458782583,,,-0.646641525712059,1.4454110348203237,ca115,6
0.0,0.3,linear,-4.129079528844388e-07,0.24188288039924094,2.4055990017314607e-07,-1.7421360753440872e-09,0.9977343216709992,0.2519110151064162,54,3.0,2.265204886470224e-09,2.2715338453413878e-09,1.0027939895896243,,,-0.6666618755533172,0.018562137122272074,ca115,6
0.0,0.4,simple,-2.9087854423889387e-07,0.3442494261189987,1.1720203373622348e-07,,0.9984889888786486,0.1918662231274409,52,3.0,2.265204886470224e-09,1.6011436614795793e-09,0.7068427545088762,,,-0.6648003180368925,0.20875557915588858,ca115,6
0.0,0.4,linear,-3.474861051009828e-07,0.2996829000262796,1.7671268361855313e-07,-2.9558481324462907e-09,0.998651156950124,0.1988993682368504,52,3.0,2.265204886470224e-09,1.5712877071442073e-09,0.6936625099695422,,,-0.6538281547246504,0.42348302312215724,ca115,6
0.0,0.5,simple,-2.1076025101089126e-07,0.4981105729066619,3.807996391858299e-08,,0.998564823171163,0.4748035269519396,50,3.0,2.265204886470224e-09,1.8265487474483861e-09,0.8063503475372695,,,-0.04152088564058678,0.7257345161799996,ca115,6
0.0,0.5,linear,-3.68926655276973e-07,0.2999386563390905,2.0134252595032687e-07,-6.342255792437725e-09,0.9991677832846508,0.4976338231616176,50,3.0,2.265204886470224e-09,1.6378123950557956e-09,0.7230305765444165,,,-0.6216802230804213,0.27702758604858074,ca115,6
0.0,0.6,simple,-2.1327671850705353e-07,0.4994099032068492,3.985056853248173e-08,,0.9987882437865419,0.4912165038021624,48,3.0,2.265204886470224e-09,1.4350454312510141e-09,0.633516835418445,,,-0.44211060443639794,0.5209880840668267,ca115,6
0.0,0.6,linear,-3.762857075479285e-07,0.2999802296553859,2.0962293548245628e-07,-7.425105560636074e-09,0.9990176311916127,0.49937098915938366,48,3.0,2.265204886470224e-09,1.8917358970980497e-09,0.8351279429058024,,,-0.4909591824459652,0.357307368285862,ca115,6
0.0,0.7,simple,-2.149974125724612e-07,0.4998711265104679,4.106223151496868e-08,,0.9987335028135303,0.49582192554988896,46,3.0,2.265204886470224e-09,1.6074226260202527e-09,0.7096146735428571,,,-0.6445452364018301,0.2560367799111641,ca115,6
0.0,0.7,linear,-3.816531094481193e-07,0.29999460627548813,2.155499063028407e-07,-8.164864528586643e-09,0.9988163450998628,0.4997598787328702,46,3.0,2.265204886470224e-09,1.8273801989588207e-09,0.8067174010940584,,,-0.6151900750070812,0.16371704525152503,ca115,6
0.0,0.8,simple,-2.1609253148370107e-07,0.5000394128912724,4.1826691619063226e-08,,0.998525139100313,0.49775649928108523,44,3.0,2.265204886470224e-09,1.761359641392364e-09,0.7775718884912961,,,-0.46011186986690983,0.5219614442120509,ca115,6
0.0,0.8,linear,-3.8587397832845664e-07,0.30000004105159356,2.2013411443338342e-07,-8.713330640772513e-09,0.9985678105205428,0.4998965773019471,44,3.0,2.265204886470224e-09,1.8383198311949618e-09,0.8115468239429504,,,-0.00012618373335557362,0.18303874530819067,ca115,6
0.0,0.9,simple,-2.1665608155874992e-07,0.5000884970437985,4.221475438255734e-08,,0.9982114015152032,0.4987130313972599,42,3.0,2.265204886470224e-09,1.5878477022039245e-09,0.7009731047676674,,,-0.3083313037796526,0.1172067504398218,ca115,6
0.0,0.9,linear,-3.888108728913234e-07,0.3000015366834487,2.2326926159351e-07,-9.071791781427158e-09,0.9982664511693745,0.49995247306461793,42,3.0,2.265204886470224e-09,1.8507533741826023e-09,0.8170357503804239,,,-0.1187946885054178,0.11548410341586555,ca115,6
0.0,1.0,simple,-2.1682002401199111e-07,0.500091168251049,4.2324258180281895e-08,,0.9978470671133691,0.49922911922160673,40,3.0,2.265204886470224e-09,1.5383849119068802e-09,0.6791372034801154,,,-0.5,0.173527326274061,ca115,6
0.0,1.0,linear,-2.2624628862439792e-07,0.4999970877854473,5.3175433968981e-08,-1.971332705723415e-09,0.9979342947903604,0.49997676783202644,40,3.0,2.265204886470224e-09,1.734532625809242e-09,0.7657288027980962,,,-0.5,0.005899172989986425,ca115,6
0.0,2.0,simple,-1.7176916136189547e-07,0.800001094468911,-1.223526009799035e-08,,0.9893465438812628,0.49999608742134205,20,3.0,2.265204886470224e-09,1.1448752268359237e-09,0.5054179574104379,,,,0.0,ca115,6
0.0,2.0,linear,-1.7433896333589339e-07,0.8000004422857955,-9.952904892179597e-09,-4.142439128008876e-10,0.9893485339111796,0.5000003082904093,20,3.0,2.265204886470224e-09,1.1509152934879364e-09,0.5080844123029244,,,,0.0,ca115,6
0.0,3.0,simple,,,,,,,0,3.0,2.265204886470224e-09,,,,,,,ca115,6
0.0,3.0,linear,,,,,,,0,3.0,2.265204886470224e-09,,,,,,,ca115,6
0.0,4.0,simple,,,,,,,0,3.0,2.265204886470224e-09,,,,,,,ca115,6
0.0,4.0,linear,,,,,,,0,3.0,2.265204886470224e-09,,,,,,,ca115,6
0.0,5.0,simple,,,,,,,0,3.0,2.265204886470224e-09,,,,,,,ca115,6
