组数,potential_file,t_min,model,A,beta,C,M,r2,n_points,t_max_used,sigma_noise,resid_mad,mad_ratio,runs_z,runs_p,rho1_bin,bin_excess
6,0.0,0.1,simple,-5.418521300926959e-06,0.010004568993304,5.264654449801389e-06,,0.6730226016796379,199,10.00063,2.265204886470224e-09,1.0897585122882464e-08,4.810860681067894,-2.0124611797498106,0.04417134490844261,0.4022580644367582,25.13775291714146
6,0.0,0.1,linear,-5.604882981314033e-06,0.010000874296743349,5.451796916725076e-06,-6.38308207296352e-10,0.6732069538717996,199,10.00063,2.265204886470224e-09,9.843041228099305e-09,4.345320499214229,-2.0124611797498106,0.04417134490844261,0.39831001983478825,22.82956906064629
6,0.0,0.2,simple,-2.1105881399935543e-07,0.42592923125276805,4.3804207040214566e-08,,0.9924118328568405,197,10.00063,2.265204886470224e-09,5.345875778417495e-09,2.3599965770636113,-1.9668302043215573,0.04920278917749037,0.5267380649518348,11.050591945584692
6,0.0,0.2,linear,-6.169013207117277e-07,0.16676415940530534,4.509316630572979e-07,-7.477268729887784e-09,0.9981626889034099,197,10.00063,2.265204886470224e-09,1.898892109270728e-09,0.8382871327059929,-1.3416407864998738,0.17971249487899976,0.24611409418112803,4.0836234849460595
6,0.0,0.3,simple,-1.9180756961860827e-07,0.5002292272060037,2.384604151764682e-08,,0.9947191209515042,195,10.00063,2.265204886470224e-09,3.808068965055465e-09,1.681114581643616,-2.0124611797498106,0.04417134490844261,0.5675124932832163,8.390552458461546
6,0.0,0.3,linear,-4.160426534219749e-07,0.2489922914158232,2.48943274072675e-07,-5.768702445663661e-09,0.9984770165344776,195,10.00063,2.265204886470224e-09,1.1004650262537309e-09,0.4858125782911145,-1.3416407864998738,0.17971249487899976,0.2557200509723977,3.0497299145128665
6,0.0,0.4,simple,-1.9447907482501846e-07,0.5049503061836504,2.459586134401393e-08,,0.9957743940410296,193,10.00063,2.265204886470224e-09,4.144977791522472e-09,1.8298467464377677,-2.0124611797498106,0.04417134490844261,0.5975649318951473,7.943659811439961
6,0.0,0.4,linear,-3.1097607750086716e-07,0.33909062866522094,1.4253835638966715e-07,-4.262838744377568e-09,0.9989725133698036,193,10.00063,2.265204886470224e-09,1.0567484828839827e-09,0.4665134218965379,-1.3416407864998738,0.17971249487899976,0.2871287993954818,1.9400128855822403
6,0.0,0.5,simple,-1.9557877295057478e-07,0.5058586008732041,2.498820503996821e-08,,0.9952443036411727,191,10.00063,2.265204886470224e-09,4.156627753487783e-09,1.8349897522801506,-2.0124611797498106,0.04417134490844261,0.599404085917184,8.320165082803916
6,0.0,0.5,linear,-2.619995616111629e-07,0.411676703540108,9.228046110734306e-08,-3.280693620298414e-09,0.9992127563342289,191,10.00063,2.265204886470224e-09,1.2323887841966711e-09,0.5440517948542183,-1.3416407864998738,0.17971249487899976,0.3021696134347174,1.217971961891755
6,0.0,0.6,simple,-1.9517395179191752e-07,0.505463702170254,2.4847757029424228e-08,,0.9943503731852787,189,10.00063,2.265204886470224e-09,4.200398988562759e-09,1.8543130529389193,-2.0124611797498106,0.04417134490844261,0.5935668513502492,8.20075294109281
6,0.0,0.6,linear,-2.2137096382036076e-07,0.49977974868888825,5.034654547913907e-08,-2.172928189140501e-09,0.9991162731004107,189,10.00063,2.265204886470224e-09,1.402426118223907e-09,0.6191166753172823,-1.2643908456352868,0.2060897769851392,0.34696900238233946,0.49350308051423586
6,0.0,0.7,simple,-1.9423694052087525e-07,0.5048930982533596,2.449509453340338e-08,,0.9935147485565584,187,10.00063,2.265204886470224e-09,4.062120262552672e-09,1.7932683647360959,-2.0124611797498106,0.04417134490844261,0.5851473598275846,8.228736223672895
6,0.0,0.7,linear,-2.2357536442270307e-07,0.49995028598879243,5.2009098372498664e-08,-2.288046143148549e-09,0.9990985964263782,187,10.00063,2.265204886470224e-09,1.3341446626592082e-09,0.5889730640384373,-1.3416407864998738,0.17971249487899976,0.29401374767607336,0.6936279330764998
6,0.0,0.8,simple,-1.929609015805388e-07,0.5043134067437199,2.399989679605884e-08,,0.9927830529541466,185,10.00063,2.265204886470224e-09,3.924834687892272e-09,1.732662114290324,-2.0124611797498106,0.04417134490844261,0.5891831030848091,8.027353288632993
6,0.0,0.8,linear,-2.2498844594064187e-07,0.5000288082553493,5.3054148822474174e-08,-2.3583506911144313e-09,0.9990132735735952,185,10.00063,2.265204886470224e-09,1.3308224917192092e-09,0.5875064545675492,-1.3416407864998738,0.17971249487899976,0.29706197632512116,0.7242146048720955
6,0.0,0.9,simple,-1.9145522741383525e-07,0.5037728612744337,2.3406429627910572e-08,,0.992169283879767,183,10.00063,2.265204886470224e-09,3.7321284505234965e-09,1.647589793230192,-2.0124611797498106,0.04417134490844261,0.5785223996125191,7.881733935675306
6,0.0,0.9,linear,-2.2578321865313334e-07,0.5000613404388222,5.363085638659445e-08,-2.3961233616938887e-09,0.9988899047591859,183,10.00063,2.265204886470224e-09,1.3622194457635013e-09,0.6013669906417128,-1.3416407864998738,0.17971249487899976,0.3201301528731216,0.7244162277150928
6,0.0,1.0,simple,-1.8980957838209909e-07,0.503297222868856,2.2752200814555767e-08,,0.991666821982274,181,10.00063,2.265204886470224e-09,3.5456251529560755e-09,1.565255829233654,,,0.4468416982467949,7.361972202699973
6,0.0,1.0,linear,-2.2612656443082317e-07,0.5000715813520027,5.387444986798553e-08,-2.4115926451763893e-09,0.9987496957510356,181,10.00063,2.265204886470224e-09,1.381739015821868e-09,0.609984122882136,,,0.2715862161588585,0.5584186231636463
6,0.0,2.0,simple,-1.7278520023027163e-07,0.5009301238437173,1.5993998844750845e-08,,0.9892563864096053,161,10.00063,2.265204886470224e-09,1.6105810669874664e-09,0.711009002588357,,,0.36969834134958635,4.4998248586799034
6,0.0,2.0,linear,-2.205765563777881e-07,0.5000214388867612,5.018031198555573e-08,-2.1962830494108666e-09,0.9967331262175871,161,10.00063,2.265204886470224e-09,1.1957100618211199e-09,0.5278595631516343,,,0.1841921349837177,0.3142026057520741
6,0.0,3.0,simple,-1.5896551933192616e-07,0.5003089186944445,1.0691291322858284e-08,,0.985614867558692,141,10.00063,2.265204886470224e-09,6.564880153252314e-10,0.2898139674898061,,,0.2722193241939436,2.346327344853014
6,0.0,3.0,linear,-2.1326696146921956e-07,0.5000052934139366,4.565850211419705e-08,-1.958629889768621e-09,0.9919911752701307,141,10.00063,2.265204886470224e-09,1.3191174643131997e-09,0.582339139471276,,,-0.16379429338032767,0.08313331089966453
