E,current_mean,current_sd,day,n_replicates,polished
0.0,-4.905662e-07,3.458379162684289e-08,Y,10,False
-0.00495385,-5.06114e-07,3.6866602230202876e-08,Y,10,False
-0.009907701,-5.231177e-07,3.851266467323876e-08,Y,10,False
-0.01486155,-5.394264e-07,4.073794490862023e-08,Y,10,False
-0.0198154,-5.560735000000001e-07,4.247176128584994e-08,Y,10,False
-0.02476925,-5.726168999999999e-07,4.475497496728406e-08,Y,10,False
-0.0297231,-5.890759e-07,4.661579872735089e-08,Y,10,False
-0.03467696,-6.058918e-07,4.885668460985322e-08,Y,10,False
-0.0396308,-6.219283e-07,5.092368760551856e-08,Y,10,False
-0.04458466,-6.388098999999999e-07,5.3001430807625895e-08,Y,10,False
-0.0495385,-6.546864e-07,5.516148875236943e-08,Y,10,False
-0.05449236,-6.713804e-07,5.714636630656798e-08,Y,10,False
-0.05944621,-6.864959e-07,5.9335149538588566e-08,Y,10,False
-0.06440006,-7.028986e-07,6.122884312188534e-08,Y,10,False
-0.06935391,-7.176571e-07,6.331929970562774e-08,Y,10,False
-0.07430775,-7.335056e-07,6.504052534330679e-08,Y,10,False
-0.07926161,-7.477475e-07,6.708581935145131e-08,Y,10,False
-0.08421546,-7.630322000000001e-07,6.856693283662484e-08,Y,10,False
-0.08916931,-7.766917999999999e-07,7.050161420027518e-08,Y,10,False
-0.09412316,-7.914127e-07,7.180876427637508e-08,Y,10,False
-0.09907701,-8.034656000000001e-07,7.344357024909213e-08,Y,10,False
-0.1040309,-8.177265e-07,7.451344928005354e-08,Y,10,False
-0.1089847,-8.303055000000001e-07,7.587646286087524e-08,Y,10,False
-0.1139386,-8.436924999999999e-07,7.673400627456152e-08,Y,10,False
-0.1188924,-8.557830999999999e-07,7.777675608139264e-08,Y,10,False
-0.1238463,-8.683342e-07,7.83888353895715e-08,Y,10,False
-0.1288001,-8.80171e-07,7.892074949100664e-08,Y,10,False
-0.133754,-8.918106e-07,7.924517332683424e-08,Y,10,False
-0.138707,-9.033940000000002e-07,7.943710424676312e-08,Y,10,False
-0.143661,-9.14705e-07,7.958689772681036e-08,Y,10,False
-0.148615,-9.261285e-07,7.9242923031019e-08,Y,10,False
-0.153569,-9.363777999999998e-07,7.903868366087864e-08,Y,10,False
-0.158523,-9.478014000000002e-07,7.837281335060576e-08,Y,10,False
-0.163477,-9.578910000000001e-07,7.792232031823602e-08,Y,10,False
-0.16843,-9.693053e-07,7.68088417712006e-08,Y,10,False
-0.173384,-9.793854e-07,7.609139455680911e-08,Y,10,False
-0.178338,-9.909689e-07,7.462007182379878e-08,Y,10,False
-0.183292,-1.0012462000000001e-06,7.37727468285018e-08,Y,10,False
-0.188246,-1.0134683000000001e-06,7.222254459816083e-08,Y,10,False
-0.1932,-1.0235954e-06,7.119273415204986e-08,Y,10,False
-0.198154,-1.0365221e-06,6.939716325686517e-08,Y,10,False
-0.203107,-1.0479553e-06,6.827761384076693e-08,Y,10,False
-0.208061,-1.0616146000000002e-06,6.658520140258058e-08,Y,10,False
-0.213015,-1.0741094000000002e-06,6.539982437828952e-08,Y,10,False
-0.217969,-1.088614e-06,6.375051451992805e-08,Y,10,False
-0.222923,-1.102377e-06,6.242291000906637e-08,Y,10,False
-0.227877,-1.1177369e-06,6.09221846063576e-08,Y,10,False
