E_half_s0,E_half_s1,E_half_s2,Epa_s0,Epa_s1,Epa_s2,Epc_s0,Epc_s1,Epc_s2,dEp_s0,dEp_s1,dEp_s2,day,disconnect,drift_1,drift_2,envelope_s0,envelope_s1,envelope_s2,group,i_vertex_neg_s0,i_vertex_neg_s1,i_vertex_neg_s2,i_vertex_pos_s0,i_vertex_pos_s1,i_vertex_pos_s2,ip_ratio_s0,ip_ratio_s1,ip_ratio_s2,ipa_s0,ipa_s1,ipa_s2,ipc_s0,ipc_s1,ipc_s2,n_scans_parsed,polished,potential_nominal,substance
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Y,none,1.1375185153932667e-07,1.388212403692603e-07,6.248678161904762e-07,6.342736580952381e-07,6.486327465800865e-07,1,-1.762297e-06,-1.519921e-06,-1.414985e-06,7.63671e-07,7.92982e-07,8.14119e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,False,0.0,tapwater
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Y,none,8.844833901733394e-08,9.187801221517923e-08,6.451257457142856e-07,6.555840185714287e-07,6.67729432987013e-07,2,-1.354955e-06,-1.302252e-06,-1.265614e-06,8.1891e-07,8.22574e-07,8.28962e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,False,0.1,tapwater
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Y,none,9.08185969942339e-08,9.279024187463281e-08,6.632734733333333e-07,6.702979795238096e-07,6.794271072727271e-07,3,-1.234707e-06,-1.200041e-06,-1.174395e-06,8.27177e-07,8.30747e-07,8.36478e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,False,0.2,tapwater
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Y,none,9.147287500449034e-08,9.308770849316615e-08,6.710293347619048e-07,6.771513428571429e-07,6.838845206060605e-07,4,-1.15166e-06,-1.12808e-06,-1.106473e-06,8.36572e-07,8.36384e-07,8.33941e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,False,0.3,tapwater
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Y,none,9.217082684488792e-08,9.36198508814592e-08,6.753435795238094e-07,6.816110395238095e-07,6.876946912121212e-07,5,-1.083645e-06,-1.064574e-06,-1.046255e-06,8.31874e-07,8.31593e-07,8.30465e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,False,0.4,tapwater
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Y,none,1.0444965193313111e-07,1.1932801945483217e-07,7.108606238095238e-07,7.499709714285714e-07,7.79401670995671e-07,6,-1.537676e-06,-1.468815e-06,-1.464024e-06,6.44832e-07,6.87294e-07,7.12565e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,False,0.0,blank
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Y,none,1.0894022185960616e-07,1.1306345907505828e-07,7.737313142857143e-07,7.828151571428572e-07,7.968451428571429e-07,7,-1.453409e-06,-1.463461e-06,-1.459609e-06,7.21302e-07,7.32388e-07,7.42909e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,False,0.1,blank
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Y,none,1.0983236170045694e-07,1.1232081143061284e-07,7.819644047619048e-07,7.867941761904762e-07,7.979908961038961e-07,8,-1.455851e-06,-1.457824e-06,-1.46036e-06,7.39809e-07,7.47231e-07,7.50049e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,False,0.2,blank
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Y,none,1.098106832929059e-07,1.1159619944375197e-07,7.816726333333333e-07,7.846007619047618e-07,7.948238614718615e-07,9,-1.455851e-06,-1.460266e-06,-1.455475e-06,7.44506e-07,7.49861e-07,7.54558e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,False,0.3,blank
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Y,none,1.0956885486926868e-07,1.1120547031858638e-07,7.785972904761904e-07,7.814656285714286e-07,7.915820346320346e-07,10,-1.453972e-06,-1.457354e-06,-1.456227e-06,7.48076e-07,7.49204e-07,7.5484e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,False,0.4,blank
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Y,none,2.048282560725997e-07,2.2154920652064362e-07,1.3000097761904763e-06,1.2934203904761905e-06,1.2949951155844157e-06,11,-1.879069e-06,-1.768403e-06,-1.743414e-06,2.668012e-06,2.668951e-06,2.674588e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,False,0.0,sample
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Y,none,1.8993573923410505e-07,1.9705519941899514e-07,1.3125384666666667e-06,1.2999373142857142e-06,1.2956680436796537e-06,12,-1.644303e-06,-1.700763e-06,-1.694845e-06,2.695255e-06,2.681164e-06,2.677406e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,False,0.1,sample
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Y,none,1.8928713337393746e-07,1.950880404602317e-07,1.310552619047619e-06,1.2959694404761906e-06,1.2912458880952379e-06,13,-1.606162e-06,-1.669856e-06,-1.667319e-06,2.691498e-06,2.674588e-06,2.672709e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,False,0.2,sample
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Y,none,1.8861481735722455e-07,1.9427446168227425e-07,1.3056219523809523e-06,1.2905479742857139e-06,1.2857544647619047e-06,14,-1.585306e-06,-1.648718e-06,-1.650221e-06,2.686801e-06,2.67083e-06,2.663314e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,False,0.3,sample
