Ep,blank_group,has_peak,ip_pearson,m,noise,nu,peak_over_noise,r2,sample_group,scan,sd_peak_height,sigma
-0.23234533860459344,6,True,1.91443319618412e-06,58.751767426496556,1.3237964820164979e-08,-88.21428453888534,127.5830685447098,0.9989602690125099,11,0,1.5761983241220167e-06,0.636414629031994
-0.22481701465986326,6,True,1.920724478627028e-06,44.136065461901055,1.5209778940699995e-08,-79.48452874181078,111.73946990725503,0.9990161913335752,11,1,1.5761980180206996e-06,0.5226016571402671
-0.2245017668248373,6,True,1.9398296036981355e-06,46.67974792854154,2.4868160655336503e-08,-80.0530789213921,67.59043531406364,0.9989913909604907,11,2,1.5912343539248436e-06,0.5486922725693849
-0.226852943121032,7,True,1.949650425014279e-06,45.31756019544195,3.130676934490805e-08,-79.9091137993918,53.42850190327372,0.9987705530463936,12,0,1.5986347649740957e-06,0.5370447549993541
-0.22757267675823736,7,True,1.959875448386569e-06,46.12416611643034,2.061245370009904e-08,-80.08133800795898,81.9021993732509,0.9990378474264021,12,1,1.6048404588247082e-06,0.5458386168128003
-0.22094294312212281,7,True,1.9669199496171334e-06,42.75739871122627,1.7813961140134855e-08,-76.52564033937578,93.78076467083885,0.99935658260854,12,2,1.6080762322600263e-06,0.5223353216686185
-0.2176127593274764,8,True,1.966084558181675e-06,40.82795656496447,2.8217024746220666e-08,-74.86159329988253,58.77411839878545,0.9989190056495881,13,0,1.6075899474424465e-06,0.5067403418160908
-0.22161516704012232,8,True,1.975055350834656e-06,46.428313755957134,2.498353363435986e-08,-77.98382329663977,66.47493580912509,0.9992182749367235,13,1,1.6144238815985368e-06,0.557228854577492
-0.22868715693248667,8,True,1.9747598498835626e-06,53.0918347922002,2.2850962768690193e-08,-83.02978748154717,72.99758318737669,0.9990626808466515,13,2,1.6163414558828106e-06,0.6068457924992402
-0.22211643878201265,9,True,1.9769691329169845e-06,48.792575916848385,2.7609081131650697e-08,-79.2020074252709,59.92591481085792,0.9991043074307424,14,0,1.6173162346674746e-06,0.5774518132328966
-0.193760163150933,9,True,1.9804873875068417e-06,47.187002947705075,1.615530399281638e-08,-71.19465115453536,103.26496509468458,0.9992394608462625,14,1,1.6185495513927056e-06,0.5829864118763882
-0.2221455439003153,9,True,1.9802308097043604e-06,52.558318355860436,2.2550049287467017e-08,-80.7030859204906,73.36643541618095,0.9993203503550458,14,2,1.6186898272931912e-06,0.6094928315466323
-0.22344236690637795,10,True,1.983381588421406e-06,50.56127930719118,1.6433463750261502e-08,-80.03380559281844,100.88709270784695,0.999259892609644,15,0,1.6212994244982102e-06,0.5937973285731765
-0.22859090199683518,10,True,1.9853282227000113e-06,56.66652650519904,2.981493351659163e-08,-84.11926926681139,55.67358433534086,0.9992157993887256,15,1,1.623071320534282e-06,0.639177283270821
-0.22258095063736086,10,True,1.9806099523838125e-06,55.322570885644645,2.673900426251327e-08,-82.12504050713464,62.10769130435573,0.9991527776192901,15,2,1.6194243797445605e-06,0.6305900464503084
-0.2271312011364762,21,True,1.8507382350732593e-06,68.21302404895114,2.6553327696043982e-08,-91.77898350308935,64.95721977965074,0.9989630127152125,16,0,1.527999205887809e-06,0.6971074399400631
-0.22761589748400615,21,True,1.8860872762076654e-06,95.37564656573291,3.0397654863433915e-08,-102.99172464552127,56.40149592160267,0.9989046575016322,16,1,1.5556611128611273e-06,0.8706538212518967
-0.22296869867890806,21,True,1.9020951604217955e-06,80.76788036098347,9.303994895335783e-09,-94.71759884792232,183.81700224477052,0.9995502777395291,16,2,1.563809856624274e-06,0.7950960696195709
-0.22099625768899825,22,True,1.9097389245869416e-06,66.36618124217661,3.150394874804855e-08,-87.4679715815191,53.693332845048225,0.9991528960697561,17,0,1.5669354575376152e-06,0.7064091118196983
-0.22468599930219493,22,True,1.9194260943786875e-06,80.35609885872871,2.6128784902269947e-08,-94.52607707767567,65.01007702378152,0.9993897908843489,17,1,1.5755100732827337e-06,0.7968402180001332
-0.22277747898733447,22,True,1.9223528808042177e-06,79.33726501738565,2.8963359555561983e-08,-93.60862509561393,58.347883535164016,0.999271750632113,17,2,1.5779885389165402e-06,0.7910164696999492
-0.22133835303763844,23,True,1.928632978436769e-06,83.53976097083363,2.924980568466605e-08,-95.07376104235547,57.26782427948784,0.9992461675647352,18,0,1.5836306065716621e-06,0.8190492246251478
-0.22331608726329996,23,True,1.9368384454393567e-06,86.05686629261378,1.715913761004041e-08,-96.3625242111419,98.5280396054594,0.9993094111056049,18,1,1.5887094312563593e-06,0.8352178133407931
-0.2251930314168272,23,True,1.940323669265704e-06,94.72957577306593,1.8343984579931828e-08,-100.5942228515676,91.9363887245488,0.9994218074133541,18,2,1.592385212427154e-06,0.8839424540705972
-0.22195968458456558,24,True,1.9401412852054135e-06,85.65362370868935,1.7839337205921796e-08,-95.93743723258233,94.36426554304613,0.9995335394239073,19,0,1.5920233429468146e-06,0.8335793064806284
-0.22270868232188645,24,True,1.9491065707795892e-06,82.5011931727645,2.6705298054458536e-08,-94.37809122398198,63.022662318938885,0.9992271653634474,19,1,1.5968697067440517e-06,0.8168895594969604
