E_peak,baseline,blank,branch,day,is_baseline,peak_over_noise,polished,resid_max_abs,resid_neg_mean,resid_rms,scan,sd_height
nan,6,6,none,Y,True,nan,False,0.0,0.0,0.0,0,nan
nan,6,6,none,Y,True,nan,False,0.0,0.0,0.0,1,nan
nan,6,6,none,Y,True,nan,False,0.0,0.0,0.0,2,nan
nan,6,7,none,Y,False,nan,False,1.0146000000000017e-07,1.6995393650000018e-08,5.012331927456649e-08,0,nan
-0.00495385,6,7,cathodic,Y,False,7.494761685564733,False,6.745099999999991e-08,-1.708931042e-08,3.2096779588261965e-08,1,0.10117791521603099
-0.08421546,6,7,cathodic,Y,False,5.030284892188635,False,6.745099999999991e-08,-1.708931042e-08,3.2096779588261965e-08,1,0.06790792818864573
-0.297231,6,7,anodic,Y,False,19.852434584448694,False,3.447799999999997e-08,-7.944865789999987e-09,1.7745666428082072e-08,2,0.028405069662926392
-0.06935391,6,7,anodic,Y,False,6.07206772062663,False,3.447799999999997e-08,-7.944865789999987e-09,1.7745666428082072e-08,2,0.008687977581223992
0.03467696,6,7,anodic,Y,False,8.520378229768022,False,3.447799999999997e-08,-7.944865789999987e-09,1.7745666428082072e-08,2,0.01219104569474964
0.1139386,6,7,anodic,Y,False,11.603707004839276,False,3.447799999999997e-08,-7.944865789999987e-09,1.7745666428082072e-08,2,0.016602704540774074
0.198154,6,7,anodic,Y,False,14.522324412551534,False,3.447799999999997e-08,-7.944865789999987e-09,1.7745666428082072e-08,2,0.0207786926510907
0.277415,6,7,anodic,Y,False,10.745556606739509,False,3.447799999999997e-08,-7.944865789999987e-09,1.7745666428082072e-08,2,0.015374854035305764
-0.00495385,6,7,cathodic,Y,False,16.941205528242342,False,3.447799999999997e-08,-7.944865789999987e-09,1.7745666428082072e-08,2,0.05547916380384227
-0.07926161,6,7,cathodic,Y,False,8.940545552890892,False,3.447799999999997e-08,-7.944865789999987e-09,1.7745666428082072e-08,2,0.029278553429840187
nan,6,8,none,Y,False,nan,False,1.0399599999999997e-07,1.357021965000001e-08,5.5757163394442124e-08,0,nan
nan,6,8,none,Y,False,nan,False,7.468500000000001e-08,-1.8267405740000002e-08,3.689620455122927e-08,1,nan
