file,potential,t_min,model,A,beta,C,M,r2,n_points
Ca1,0.4,0.1,simple,1.3231075213048175e-06,0.7011892873270951,3.1393193273021427e-07,,0.9824832802325146,9599
Ca1,0.4,0.1,linear,1.449202817474693e-06,0.647003244150614,2.579176910807426e-07,1.5802939169587568e-10,0.9944794977663244,9599
Ca1,0.4,0.2,simple,1.3552611192565945e-06,0.736050114361841,3.190769757271748e-07,,0.9808793786060153,9597
Ca1,0.4,0.2,linear,1.4555918448439618e-06,0.6690285002474011,2.669474706331686e-07,1.4322427105287797e-10,0.9935773675693318,9597
Ca1,0.4,0.3,simple,1.390880350321568e-06,0.7621915056733172,3.2218255582533286e-07,,0.9803713409163486,9595
Ca1,0.4,0.3,linear,1.4686255638699883e-06,0.6870771936913522,2.7318405097272484e-07,1.3307853415037431e-10,0.9931745271757523,9595
Ca1,0.4,0.4,simple,1.4258047342204107e-06,0.7831586525941264,3.2432186340251124e-07,,0.979961962275056,9593
Ca1,0.4,0.4,linear,1.483470838135102e-06,0.7017078681214237,2.77649494127894e-07,1.258338257779486e-10,0.9928306808363332,9593
Ca1,0.4,0.5,simple,1.4604694909069522e-06,0.8015524307416534,3.259964162745959e-07,,0.9796143645088774,9591
Ca1,0.4,0.5,linear,1.499263430143475e-06,0.7144276350867109,2.8116895921065006e-07,1.2013181232218743e-10,0.9925241154590038,9591
Ca1,0.4,0.6,simple,1.4950585459300047e-06,0.8178830060205187,3.273319160841226e-07,,0.9793488835277849,9589
Ca1,0.4,0.6,linear,1.5159422576012137e-06,0.7260981621163526,2.8414289867212983e-07,1.1531405217870783e-10,0.9922655748901953,9589
Ca1,0.4,0.7,simple,1.5295902445563676e-06,0.8328380392283441,3.2845156859148287e-07,,0.9791256921273531,9587
Ca1,0.4,0.7,linear,1.533184448243587e-06,0.7369154388842827,2.8670632827286714e-07,1.1115918090910114e-10,0.9920342608433238,9587
Ca1,0.4,0.8,simple,1.564402715680127e-06,0.8468423997343149,3.294204113532441e-07,,0.9789590939853062,9585
Ca1,0.4,0.8,linear,1.551135962960836e-06,0.7472249002599046,2.8899565166789443e-07,1.0744396636855674e-10,0.9918372019252024,9585
Ca1,0.4,0.9,simple,1.5992891719975715e-06,0.8599942317699257,3.30267178178398e-07,,0.9788116607343753,9583
Ca1,0.4,0.9,linear,1.5694789667628844e-06,0.756998545672101,2.9104069715077915e-07,1.0411962493528072e-10,0.99165451960267,9583
Ca1,0.4,1.0,simple,1.634245982358183e-06,0.8724236663700021,3.3101619407568866e-07,,0.9786722741988699,9581
Ca1,0.4,1.0,linear,1.5881143562499997e-06,0.7662977440053156,2.9288229656099043e-07,1.0112067499634278e-10,0.9914798502050595,9581
Ca1,0.4,2.0,simple,2.010657613253889e-06,0.9772306385223819,3.358372228327612e-07,,0.9782404590560274,9561
Ca1,0.4,2.0,linear,1.801714271459344e-06,0.8487378178358307,3.0583034583253827e-07,7.977102432589641e-11,0.9904041604134225,9561
Ca1,0.4,3.0,simple,2.455122992020902e-06,1.0645659776339205,3.384747515202172e-07,,0.9788042093634813,9541
Ca1,0.4,3.0,linear,2.070920911949142e-06,0.923348281365962,3.14027591099463e-07,6.58228762020283e-11,0.990088094637016,9541
