group,file,model,fit_start_s,fit_end_s,n_points,A,A_se,beta,beta_se,C,C_se,M_linear_drift,M_linear_drift_se,rmse,r2,success,message,time_min_s,time_max_s,current_min_a,current_max_a
再等十分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/再等十分钟.csv,beta,0.2,120.0006,2397,1.3230912808081721e-06,5.286162184137866e-09,0.4409165373884845,0.002041938638143822,1.1388944041529396e-07,2.7687149063127893e-09,,,3.456289027284466e-08,0.9790660618670407,True,,0.05063522,120.0006,2.99305e-07,9.953712e-06
再等十分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/再等十分钟.csv,beta_plus_linear_drift,0.2,120.0006,2397,1.6551333623049784e-06,8.320108631906609e-09,0.3632103080421034,0.0019694844738972097,-1.4408277693243654e-07,6.571030891080258e-09,1.457392195022482e-09,2.8066971347819453e-11,2.2523562176264204e-08,0.9911099340116305,True,,0.05063522,120.0006,2.99305e-07,9.953712e-06
再等十分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/再等十分钟.csv,beta,0.5,120.0006,2391,1.1849187436791754e-06,6.482450759565948e-09,0.3419567561166869,0.002765103089106049,4.1510339497160924e-08,4.7946546886759016e-09,,,3.490438667543804e-08,0.965947350057657,True,,0.05063522,120.0006,2.99305e-07,9.953712e-06
再等十分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/再等十分钟.csv,beta_plus_linear_drift,0.5,120.0006,2391,1.826228995738487e-06,1.8462513872575373e-08,0.22240547350982331,0.0027146607256619873,-5.297792713221443e-07,1.7561694045208217e-08,1.860302671528141e-09,3.4043721981235656e-11,2.117247735359707e-08,0.9874704854271285,True,,0.05063522,120.0006,2.99305e-07,9.953712e-06
再等十分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/再等十分钟.csv,beta,1.0,120.0006,2381,1.088121187479294e-06,7.910187514866586e-09,0.2663369733419957,0.0031998572303127627,-3.0578903040169834e-08,7.264448777660913e-09,,,3.060371566809808e-08,0.9607642345930595,True,,0.05063522,120.0006,2.99305e-07,9.953712e-06
再等十分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/再等十分钟.csv,beta_plus_linear_drift,1.0,120.0006,2381,2.5401909263108744e-06,6.390160379157994e-08,0.10937721116260164,0.0031458781749091483,-1.4278451040731255e-06,6.376639454003245e-08,2.038213257978611e-09,3.4933143973343234e-11,1.7006187768375307e-08,0.9878843211714634,True,,0.05063522,120.0006,2.99305e-07,9.953712e-06
再等十分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/再等十分钟.csv,beta,2.0,120.0006,2361,1.0389077048594747e-06,1.2566071031258011e-08,0.18572807411889317,0.0035895178528804954,-1.50341777052652e-07,1.285972728476246e-08,,,2.447549556292477e-08,0.9596042051017487,True,,0.05063522,120.0006,2.99305e-07,9.953712e-06
再等十分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/再等十分钟.csv,beta_plus_linear_drift,2.0,120.0006,2361,0.015929195321364484,2.3236407188616655,1.1086691738019914e-05,0.0016172746227259029,-0.0159282708035867,2.3236407189746098,1.9812287263753782e-09,2.035997604632812e-11,1.2350333380276267e-08,0.9897143786434569,True,,0.05063522,120.0006,2.99305e-07,9.953712e-06
再等十分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/再等十分钟.csv,beta,5.0,120.0006,2301,1.3979970564638822e-06,6.531079771718126e-08,0.07033911907144898,0.004008042682365511,-7.159671051274283e-07,6.611493815748614e-08,,,1.5563329642428536e-08,0.9640966416089272,True,,0.05063522,120.0006,2.99305e-07,9.953712e-06
再等十分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/再等十分钟.csv,beta_plus_linear_drift,5.0,120.0006,2301,0.03129121077887375,1.2330207069233046,3.298860150310522e-06,0.00012999065353990405,-0.03129050689409537,1.2330207069028547,7.606719024956585e-10,1.4275353818591333e-11,1.1154343135221702e-08,0.9815575742981663,True,,0.05063522,120.0006,2.99305e-07,9.953712e-06
