scan,potential,current,time
,0.000000e+00,-9.479726e-08,
,0.000000e+00,4.739860e-07,
,0.000000e+00,5.687830e-07,
,0.000000e+00,-3.945650e-07,
,0.000000e+00,-3.475930e-07,
,0.000000e+00,-3.194090e-07,
,0.000000e+00,-3.147120e-07,
,0.000000e+00,-2.959230e-07,
,0.000000e+00,-2.827710e-07,
,0.000000e+00,-2.824890e-07,
,0.000000e+00,-2.730010e-07,
,0.000000e+00,-2.648280e-07,
,0.000000e+00,-2.576880e-07,
,0.000000e+00,-2.513940e-07,
,0.000000e+00,-2.456630e-07,
,0.000000e+00,-2.405900e-07,
,0.000000e+00,-2.358930e-07,
,0.000000e+00,-2.317600e-07,
,0.000000e+00,-2.278140e-07,
,0.000000e+00,-2.241500e-07,
,0.000000e+00,-2.207680e-07,
,0.000000e+00,-2.176680e-07,
,0.000000e+00,-2.147560e-07,
,0.000000e+00,-2.120310e-07,
,0.000000e+00,-2.094010e-07,
0,0.000000e+00,-2.116560e-07,
0,-4.953850e-03,-2.524270e-07,
0,-9.907701e-03,-2.865290e-07,
0,-1.486155e-02,-3.102030e-07,
0,-1.981540e-02,-3.396070e-07,
0,-2.476925e-02,-3.656300e-07,
0,-2.972310e-02,-3.952220e-07,
0,-3.467696e-02,-4.256600e-07,
0,-3.963080e-02,-4.567560e-07,
0,-4.458466e-02,-4.919850e-07,
0,-4.953850e-02,-5.249590e-07,
0,-5.449236e-02,-5.652610e-07,
0,-5.944621e-02,-5.996450e-07,
0,-6.440006e-02,-6.443620e-07,
0,-6.935391e-02,-6.812820e-07,
0,-7.430775e-02,-7.297570e-07,
0,-7.926161e-02,-7.693080e-07,
0,-8.421546e-02,-8.204130e-07,
0,-8.916931e-02,-8.629700e-07,
0,-9.412316e-02,-9.163300e-07,
0,-9.907701e-02,-9.613290e-07,
0,-1.040309e-01,-1.015723e-06,
0,-1.089847e-01,-1.065325e-06,
0,-1.139386e-01,-1.120189e-06,
0,-1.188924e-01,-1.173267e-06,
0,-1.238463e-01,-1.227849e-06,
0,-1.288001e-01,-1.284309e-06,
0,-1.337540e-01,-1.338327e-06,
0,-1.387070e-01,-1.397418e-06,
0,-1.436610e-01,-1.450778e-06,
0,-1.486150e-01,-1.512218e-06,
0,-1.535690e-01,-1.564356e-06,
0,-1.585230e-01,-1.626360e-06,
0,-1.634770e-01,-1.677747e-06,
0,-1.684300e-01,-1.739280e-06,
0,-1.733840e-01,-1.790010e-06,
0,-1.783380e-01,-1.850040e-06,
0,-1.832920e-01,-1.899925e-06,
0,-1.882460e-01,-1.957419e-06,
0,-1.932000e-01,-2.005894e-06,
0,-1.981540e-01,-2.059724e-06,
0,-2.031070e-01,-2.107823e-06,
0,-2.080610e-01,-2.156862e-06,
0,-2.130150e-01,-2.203834e-06,
0,-2.179690e-01,-2.247800e-06,
0,-2.229230e-01,-2.292987e-06,
0,-2.278770e-01,-2.331316e-06,
0,-2.328300e-01,-2.374624e-06,
0,-2.377840e-01,-2.408068e-06,
0,-2.427380e-01,-2.448276e-06,
0,-2.476920e-01,-2.476178e-06,
0,-2.526460e-01,-2.504549e-06,
0,-2.576000e-01,-2.527096e-06,
0,-2.625540e-01,-2.560915e-06,
0,-2.675070e-01,-2.580644e-06,
0,-2.724610e-01,-2.606948e-06,
0,-2.774150e-01,-2.623858e-06,
0,-2.823690e-01,-2.647344e-06,
0,-2.873230e-01,-2.661436e-06,
0,-2.922770e-01,-2.678345e-06,
0,-2.972310e-01,-2.692437e-06,
0,-3.021840e-01,-2.705589e-06,
0,-2.972310e-01,-2.533672e-06,
0,-2.922770e-01,-2.395574e-06,
0,-2.873230e-01,-2.277204e-06,
0,-2.823690e-01,-2.168229e-06,
0,-2.774150e-01,-2.075224e-06,
0,-2.724610e-01,-1.985978e-06,
