index,event,t_start,t_end,elapsed_s,out_dir,n_points,status
0,ca_run_start,2026-07-17T16:00:16,,,,,ok
1,device_init_failed,2026-07-17T16:00:16,,,,,error: 在 /Users/griffith/Downloads/ic study/code 2026/data_analysis 下找不到 tool/transport.py。请确认脚本放在 data_analysis 目录里。
2,ca_run_start,2026-07-17T16:00:43,,,,,ok
3,CA,2026-07-17T16:00:51,2026-07-17T16:01:51,60.144,ca_0001,600,ok
4,ca_run_end,2026-07-17T16:01:51,,67.9,,,ok
5,cv_run_start,2026-07-17T16:03:06,,,,,ok
6,CV,2026-07-17T16:03:14,2026-07-17T16:03:46,32.21,cv_0001,617,ok
7,CV,2026-07-17T16:04:16,2026-07-17T16:04:48,32.214,cv_0002,617,ok
8,CV,2026-07-17T16:05:18,2026-07-17T16:05:51,32.22,cv_0003,617,ok
9,CV,2026-07-17T16:06:21,2026-07-17T16:06:53,32.231,cv_0004,617,ok
10,CV,2026-07-17T16:07:23,2026-07-17T16:07:55,32.218,cv_0005,617,ok
11,CV,2026-07-17T16:08:25,2026-07-17T16:08:57,32.214,cv_0006,617,ok
12,CV,2026-07-17T16:09:27,2026-07-17T16:09:59,32.188,cv_0007,617,ok
13,CV,2026-07-17T16:10:29,2026-07-17T16:11:02,32.218,cv_0008,617,ok
14,CV,2026-07-17T16:11:32,2026-07-17T16:12:04,32.205,cv_0009,617,ok
15,CV,2026-07-17T16:12:34,2026-07-17T16:13:06,32.211,cv_0010,617,ok
16,cv_run_end,2026-07-17T16:13:14,,607.7,,,ok
17,ca_run_start,2026-07-17T16:16:04,,,,,ok
18,wait_120s,2026-07-17T16:16:12,2026-07-17T16:18:12,120.0,,,ok
19,CA,2026-07-17T16:18:12,2026-07-17T16:19:12,60.141,ca_0002,600,ok
20,ca_run_end,2026-07-17T16:19:12,,187.8,,,ok
21,cv_run_start,2026-07-17T16:20:08,,,,,ok
22,CV,2026-07-17T16:20:16,2026-07-17T16:20:48,32.204,cv_0011,617,ok
23,CV,2026-07-17T16:21:18,2026-07-17T16:21:50,32.21,cv_0012,617,ok
24,CV,2026-07-17T16:22:20,2026-07-17T16:22:52,32.216,cv_0013,617,ok
25,CV,2026-07-17T16:23:22,2026-07-17T16:23:55,32.215,cv_0014,617,ok
26,CV,2026-07-17T16:24:25,2026-07-17T16:24:57,32.21,cv_0015,617,ok
27,CV,2026-07-17T16:25:27,2026-07-17T16:25:59,32.213,cv_0016,617,ok
28,CV,2026-07-17T16:26:29,2026-07-17T16:27:01,32.21,cv_0017,617,ok
29,CV,2026-07-17T16:27:31,2026-07-17T16:28:03,32.211,cv_0018,617,ok
30,CV,2026-07-17T16:28:33,2026-07-17T16:29:06,32.212,cv_0019,617,ok
31,CV,2026-07-17T16:29:36,2026-07-17T16:30:08,32.227,cv_0020,617,ok
32,cv_run_end,2026-07-17T16:30:16,,607.7,,,ok
